,source,target,TS label,TS chiral?,
201,0010100032,0101002300,0010100032,yes,,,,,,,
202,0010100032,0102103000,0100030012,yes,,,,,,,
203,0010100032,1003002010,0030010102,yes,,,,,,,
204,0003010102,0002011030,0003010102,yes,,,,,,,
205,0003010102,0101032000,0101032000,yes,,,,,,,
206,0003010102,0000102103,0000102103,yes,,,,,,,
207,1012003000,0000021013,0021010003,yes,,,,,,,
208,1012003000,0020100031,0030020101,yes,,,,,,,
209,1012003000,0001010032,1010030002,yes,,,,,,,
210,0013012000,0001031002,0013012000,yes,,,,,,,
211,0013012000,0021030100,0021030100,yes,,,,,,,
212,0013012000,0020101003,1000020103,yes,,,,,,,
213,0001200301,0001030210,0001200301,yes,,,,,,,
214,0001200301,0211000300,0300211000,yes,,,,,,,
215,0001200301,0000301021,0000301021,yes,,,,,,,
216,0301001002,0010302001,0010302001,yes,,,,,,,
217,0301001002,0010012030,0010012030,no,,,,,,,
218,0301001002,0012000301,0300012001,yes,,,,,,,
219,0030100210,0103000120,0030100210,yes,,,,,,,
220,0030100210,0100301200,0100210030,yes,,,,,,,
221,0030100210,0013001200,0210030100,yes,,,,,,,
222,0000102130,0000310102,0000102130,yes,,,,,,,
223,0000102130,0003120100,0102130000,yes,,,,,,,
224,0000102130,0003120010,0003120010,yes,,,,,,,
225,0000312010,0000101302,0000312010,yes,,,,,,,
226,0000312010,0001021300,0312010000,yes,,,,,,,
227,0000312010,0001020130,0001020130,yes,,,,,,,
228,0020103010,0100102003,0020103010,yes,,,,,,,
229,0020103010,0100201030,0103010020,yes,,,,,,,
230,0020103010,0012001030,2001030010,yes,,,,,,,
231,0021100300,0030112000,0021100300,yes,,,,,,,
232,0021100300,0110200300,0300110200,yes,,,,,,,
233,0021100300,0012000301,0300021100,yes,,,,,,,
234,1002013000,0001020013,1002013000,yes,,,,,,,
235,1002013000,0000031021,0031020001,yes,,,,,,,
236,1002013000,0010030102,0010030102,yes,,,,,,,
237,0003010012,0002101030,0003010012,yes,,,,,,,
238,0003010012,1001032000,1001032000,yes,,,,,,,
239,0003010012,0001002103,0001002103,yes,,,,,,,
240,0002010013,0003101020,0002010013,yes,,,,,,,
241,0002010013,1001023000,1001023000,yes,,,,,,,
242,0002010013,0001003102,0001003102,yes,,,,,,,
243,0030120100,0012103000,0030120100,yes,,,,,,,
244,0030120100,0102100300,0102100300,yes,,,,,,,
245,0030120100,0100213000,0100030120,yes,,,,,,,
246,0000112300,0000031102,0000112300,yes,,,,,,,
247,0000112300,0000321100,0112300000,yes,,,,,,,
248,0000112300,0000320110,0000320110,yes,,,,,,,
249,0001300210,0000120310,0001300210,yes,,,,,,,
250,0001300210,0001200310,1200310000,yes,,,,,,,
251,0001300210,0001200031,0001200031,yes,,,,,,,
252,0010023010,0102001003,0010023010,yes,,,,,,,
253,0010023010,0101032000,0023010010,yes,,,,,,,
254,0010023010,0201001030,1001030200,yes,,,,,,,
255,1001032000,0003010012,1001032000,yes,,,,,,,
256,1001032000,0000023011,0023010001,yes,,,,,,,
257,1001032000,0010020301,0010020301,yes,,,,,,,
258,0000101203,0003020101,0000101203,yes,,,,,,,
