,id,chiral?,enantiomer,
202,0001020103,yes,0000101023,,,,,
203,0001003120,yes,0003121000,,,,,
204,0002131000,yes,0001002130,,,,,
205,0001200103,yes,0000101203,,,,,
206,0201010300,yes,0200301010,,,,,
207,0001302100,yes,0002101300,,,,,
208,0023100100,yes,0020103100,,,,,
209,0000301102,yes,0001100302,,,,,
210,0030101020,yes,0031020100,,,,,
211,0010030021,yes,0010020031,,,,,
212,0301001020,yes,0301021000,,,,,
213,0003002011,yes,0002013001,,,,,
214,0000023101,yes,0003100021,,,,,
215,0000200131,yes,0000130201,,,,,
216,0020101030,yes,0021030100,,,,,
217,0010013200,no,,,,,,
218,0000300112,yes,0000110302,,,,,
219,0013000201,yes,0010203001,,,,,
220,0000113020,yes,0003020110,,,,,
221,0001100320,yes,0000321100,,,,,
222,0001123000,yes,0003001120,,,,,
223,0002301100,yes,0001102300,,,,,
224,0000003112,no,,,,,,
225,0001013020,yes,0003021010,,,,,
226,0102001300,yes,0101302000,,,,,
227,0000211300,yes,0001300210,,,,,
228,0030100120,yes,0030120100,,,,,
229,0001310200,yes,0000201310,,,,,
230,0003012001,yes,0002003011,,,,,
231,0012010030,yes,0010032010,,,,,
232,0000100123,yes,0000120103,,,,,
233,0003211000,yes,0001003210,,,,,
234,0000302011,yes,0002010301,,,,,
235,0000011203,yes,0001200013,,,,,
236,0123001000,yes,0121003000,,,,,
237,0031000210,yes,0030211000,,,,,
238,0001001320,yes,0001321000,,,,,
239,0001203001,yes,0003001201,,,,,
240,0000003211,no,,,,,,
241,0100201300,yes,0101300200,,,,,
242,0021013000,yes,0023001010,,,,,
243,0012000310,yes,0010312000,,,,,
244,0001132000,yes,0002001130,,,,,
245,0101002300,yes,0102301000,,,,,
246,0021001030,yes,0021031000,,,,,
247,0000301012,yes,0001010302,,,,,
248,0021300100,yes,0020101300,,,,,
249,0101000230,yes,0100231000,,,,,
250,0002001310,yes,0001312000,,,,,
251,0003001021,yes,0001023001,,,,,
252,0002003101,yes,0003102001,,,,,
253,0001301002,yes,0001001302,,,,,
254,0003100012,yes,0000013102,,,,,
255,0101200300,yes,0100301200,,,,,
256,0011003020,yes,0013021000,,,,,
257,0110203000,yes,0113000200,,,,,
258,0001001203,yes,0001201003,,,,,
259,0010302001,yes,0012000301,,,,,
260,0001010032,yes,0000031012,,,,,
261,0000312100,yes,0002100310,,,,,
262,0000102013,yes,0002010103,,,,,
263,0011030020,yes,0010021030,,,,,
264,0001030021,yes,0000021031,,,,,
265,0011000032,yes,0010031002,,,,,
266,0120301000,yes,0121000300,,,,,
267,0130201000,yes,0131000200,,,,,
268,0001200310,yes,0000311200,,,,,
269,0011300200,yes,0010201300,,,,,
270,0000203011,yes,0003010201,,,,,
271,0001210300,yes,0000301210,,,,,
272,0021000103,yes,0020101003,,,,,
273,0010020310,yes,0010310020,,,,,
274,0000001321,no,,,,,,
275,0100130200,yes,0100200130,,,,,
276,0002103100,yes,0003102100,,,,,
277,0100312000,yes,0102000310,,,,,
278,0011002300,yes,0012301000,,,,,
279,0001002130,yes,0002131000,,,,,
280,0200301010,yes,0201010300,,,,,
281,0031000120,yes,0030121000,,,,,
282,0000003121,no,,,,,,
283,0002100013,yes,0000012103,,,,,
284,0100132000,yes,0102000130,,,,,
285,0010010203,no,,,,,,
286,0012013000,yes,0013002010,,,,,
287,0000310012,yes,0000010312,,,,,
288,0001002031,yes,0002031001,,,,,
289,0010203010,yes,0013010200,,,,,
290,0002011003,yes,0001002013,,,,,
291,0000120013,yes,0000010123,,,,,
292,0002113000,yes,0003002110,,,,,
293,0010100302,yes,0010300102,,,,,
294,0010301020,yes,0011020300,,,,,
295,0000103102,yes,0003100102,,,,,
296,0000123001,yes,0003000121,,,,,
297,0100102003,no,,,,,,
298,0031001020,yes,0031021000,,,,,
299,0013102000,yes,0012003100,,,,,
300,0013100020,yes,0010023100,,,,,
301,0010032001,yes,0012000031,,,,,
302,0201003001,yes,0203001001,,,,,
303,0100201030,yes,0101030200,,,,,
304,0011002003,yes,0012001003,,,,,
305,0102000301,yes,0100302001,,,,,
306,0001020031,yes,0000031021,,,,,
307,0000311020,yes,0001020310,,,,,
308,0003201010,yes,0001013200,,,,,
309,0001021030,yes,0001031020,,,,,
310,0001002310,yes,0002311000,,,,,
311,0002003011,yes,0003012001,,,,,
312,0003011002,yes,0001003012,,,,,
313,0001001302,yes,0001301002,,,,,
314,0001201030,yes,0001031200,,,,,
315,0001010302,yes,0000301012,,,,,
316,0013002001,yes,0012003001,,,,,
317,0031002001,yes,0032001001,,,,,
318,1002003100,yes,1003102000,,,,,
319,1003001200,yes,1001203000,,,,,
320,0102001030,yes,0101032000,,,,,
321,0000301120,yes,0001120300,,,,,
322,0002011300,yes,0001302010,,,,,
323,0002030110,yes,0000112030,,,,,
324,0032100100,yes,0030102100,,,,,
325,0012010300,yes,0010302010,,,,,
326,0203001001,yes,0201003001,,,,,
